,symbol,cluster
831,BWZ,21
832,BX,35
833,BXC,28
834,BXG,28
835,BXMT,37
836,BXP,17
837,BXRX,23
838,BXS,15
839,BYD,32
840,BYFC,26
841,BYLD,29
842,BYM,9
843,BYND,25
844,BYSI,1
845,BZM,6
846,BZUN,14
847,C,15
848,CAAP,1
849,CAAS,1
850,CABA,23
851,CABO,7
852,CAC,15
853,CACC,37
854,CACG,24
855,CACI,35
856,CADE,15
857,CAE,16
858,CAF,14
859,CAG,37
860,CAH,35
861,CAI,32
862,CAJ,16
863,CAKE,28
864,CAL,28
865,CALA,8
866,CALB,19
867,CALF,2
868,CALM,27
869,CALT,33
870,CALX,28
871,CAMP,28
872,CAMT,32
873,CAN,23
874,CANE,26
875,CAPE,24
876,CAPL,1
877,CAPR,1
878,CAR,28
879,CARA,8
880,CARE,28
881,CARG,7
882,CARR,33
883,CARS,28
884,CARV,26
885,CARZ,16
886,CASA,28
887,CASH,15
888,CASI,27
889,CASS,27
890,CASY,35
891,CAT,32
892,CATB,1
893,CATH,24
894,CATM,28
895,CATO,28
896,CATS,1
897,CATY,15
898,CBAT,1
899,CBAY,8
900,CBB,8
901,CBD,31
902,CBFV,26
903,CBH,3
904,CBIO,1
905,CBL,28
906,CBLI,26
907,CBMG,8
908,CBNK,27
909,CBON,19
910,CBPO,7
911,CBSH,15
912,CBSHP,34
913,CBT,32
914,CBTX,15
915,CBU,15
916,CC,32
917,CCAC,33
918,CCAP,23
919,CCB,27
920,CCBG,15
921,CCCL,1
922,CCD,3
923,CCEP,35
924,CCF,27
925,CCI,17
926,CCJ,1
927,CCK,35
928,CCL,32
929,CCLP,13
930,CCMP,32
931,CCNE,15
932,CCOI,7
933,CCOR,26
934,CCR,1
935,CCRC,26
936,CCRN,28
937,CCS,37
938,CCX,23
939,CCXI,8
940,CCXX,33
941,CCZ,33
942,CDAY,7
943,CDC,2
944,CDE,21
945,CDEV,13
946,CDL,2
947,CDLX,7
948,CDMO,8
949,CDMOP,26
950,CDNA,8
951,CDNS,24
952,CDOR,26
953,CDR,37
954,CDTX,1
955,CDXS,8
956,CDZI,1
957,CE,32
958,CEA,14
959,CECE,28
960,CEE,16
961,CEF,21
962,CEFD,33
963,CEFS,3
964,CEI,1
965,CEIX,28
966,CELC,7
967,CELH,28
968,CELP,26
969,CEM,18
970,CEMB,26
971,CENT,28
972,CENTA,28
973,CENX,32
974,CEO,13
975,CEQP,18
976,CERC,28
977,CERN,35
978,CERS,8
979,CET,22
980,CETV,7
981,CETX,1
982,CETXP,19
983,CEV,6
984,CEVA,32
985,CEZ,14
986,CF,32
987,CFA,2
988,CFB,20
989,CFBI,26
990,CFCV,33
991,CFFA,33
992,CFG,15
993,CFMS,1
994,CFO,2
995,CFR,15
996,CFRX,1
997,CFX,32
998,CFXA,5
999,CG,32
1000,CGA,26
1001,CGBD,37
1002,CGC,1
1003,CGEN,7
1004,CGIX,1
1005,CGNX,22
1006,CGRO,33
1007,CGROU,33
1008,CGW,35
1009,CHA,16
1010,CHAD,36
1011,CHAP,1
1012,CHAQ,33
1013,CHAU,14
1014,CHCI,26
1015,CHCO,15
1016,CHD,12
1017,CHDN,32
1018,CHE,35
1019,CHEF,28
1020,CHEK,1
1021,CHFS,1
1022,CHGG,7
1023,CHGX,24
1024,CHIC,14
1025,CHIE,5
1026,CHIH,5
1027,CHII,5
1028,CHIK,5
1029,CHIL,5
1030,CHIM,14
1031,CHIR,5
1032,CHIS,5
1033,CHIU,5
1034,CHIX,14
1035,CHL,16
1036,CHMA,1
1037,CHMG,27
1038,CHMI,37
1039,CHN,14
1040,CHNA,14
1041,CHNGU,20
1042,CHNR,26
1043,CHPM,33
1044,CHPMU,33
1045,CHRA,1
1046,CHRS,8
1047,CHRW,32
1048,CHS,28
1049,CHSCL,34
1050,CHSCM,34
1051,CHSCN,34
1052,CHSCO,34
1053,CHT,16
1054,CHTR,7
1055,CHU,14
1056,CHUY,28
1057,CHW,3
1058,CHX,33
1059,CHY,3
1060,CI,35
1061,CIA,27
1062,CIB,16
1063,CID,30
1064,CIDM,1
1065,CIEN,7
1066,CIG,31
1067,CIG-C,19
1068,CIGI,28
1069,CIH,26
1070,CII,22
1071,CIICU,33
1072,CIL,22
1073,CIM,37
1074,CINF,35
1075,CINR,1
1076,CIO,17
1077,CIR,32
1078,CIT,15
1079,CIVB,27
1080,CIX,27
1081,CIZ,30
1082,CJJD,26
1083,CKH,13
1084,CKPT,1
1085,CKX,19
1086,CL,12
1087,CLB,13
1088,CLBK,27
1089,CLBS,1
1090,CLCT,28
1091,CLDB,19
1092,CLDT,37
1093,CLEU,33
1094,CLF,32
1095,CLGN,26
1096,CLI,17
1097,CLIR,26
1098,CLM,3
1099,CLNC,37
1100,CLNE,13
1101,CLNY,37
1102,CLOU,5
1103,CLR,13
1104,CLRG,2
1105,CLSD,1
1106,CLSK,1
1107,CLUB,1
1108,CLVS,8
1109,CLWT,26
1110,CLX,11
1111,CLXT,8
1112,CM,16
1113,CMBM,20
1114,CMBS,29
1115,CMC,32
1116,CMCL,26
1117,CMCM,1
1118,CMCO,32
1119,CMCSA,35
1120,CMCT,27
1121,CMD,35
1122,CMDY,4
1123,CMF,29
1124,CMG,7
1125,CMI,32
1126,CMLS,28
1127,CMO,37
1128,CMPR,28
1129,CMRX,8
1130,CMS,12
1131,CMSD,25
1132,CMT,26
1133,CMTL,32
1134,CNBKA,27
1135,CNBS,20
1136,CNCR,8
1137,CNDT,32
1138,CNET,1
1139,CNFR,19
1140,CNFRL,25
1141,CNHI,32
1142,CNI,16
1143,CNK,28
1144,CNMD,35
1145,CNNB,23
1146,CNNE,7
1147,CNO,15
1148,CNOB,15
1149,CNP,12
1150,CNQ,13
1151,CNS,37
1152,CNSL,28
1153,CNST,8
1154,CNTG,23
1155,CNTY,28
1156,CNXM,18
1157,CNYA,14
1158,CO,1
1159,CODI,37
1160,COE,1
1161,COF,15
1162,COFS,19
1163,COG,13
1164,COHN,26
1165,COHR,32
1166,COHU,32
1167,COKE,11
1168,COLB,15
1169,COLD,17
1170,COLL,8
1171,COLM,28
1172,COM,21
1173,COMB,4
1174,COMM,32
1175,COMT,4
1176,CONE,17
1177,CONN,28
1178,COO,35
1179,COOP,27
1180,COP,13
1181,COPX,16
1182,COR,17
1183,CORE,28
1184,CORN,1
1185,CORP,29
1186,CORR,37
1187,COST,35
1188,COTY,28
1189,COUP,7
1190,COWN,32
1191,COWNZ,34
1192,COWZ,2
1193,CP,16
1194,CPA,32
1195,CPAA,33
1196,CPAC,19
1197,CPB,12
1198,CPE,13
1199,CPER,16
1200,CPG,13
1201,CPI,35
1202,CPK,11
1203,CPLG,28
1204,CPLP,28
1205,CPRI,28
1206,CPRT,35
1207,CPSH,26
1208,CPSI,28
1209,CPSS,26
1210,CPST,1
1211,CPT,17
1212,CPTA,37
1213,CPTAG,26
1214,CPTAL,26
1215,CPZ,23
1216,CQP,18
1217,CQQQ,14
1218,CR,32
1219,CRBN,22
1220,CRBP,8
1221,CRC,13
1222,CRDF,33
1223,CREE,32
1224,CRESY,31
1225,CRF,3
1226,CRH,16
1227,CRHM,37
1228,CRI,28
1229,CRIS,1
1230,CRK,13
1231,CRL,35
1232,CRMD,1
1233,CRMT,28
1234,CRNC,20
1235,CRNT,28
1236,CRNX,8
1237,CROC,36
1238,CROP,22
1239,CRS,32
1240,CRSA,33
1241,CRSP,8
1242,CRTO,28
1243,CRVL,35
1244,CRVS,1
1245,CRWD,20
1246,CRWS,26
1247,CRY,8
1248,CS,32
1249,CSA,2
1250,CSB,2
1251,CSD,2
1252,CSF,2
1253,CSFL,15
1254,CSGP,7
1255,CSGS,7
1256,CSIQ,28
1257,CSL,32
1258,CSLT,27
1259,CSM,24
1260,CSPI,26
1261,CSSE,26
1262,CSTE,28
1263,CSTL,20
1264,CSTR,15
1265,CSV,28
1266,CSWC,1
1267,CSWI,32
1268,CSX,32
1269,CTAS,35
1270,CTB,28
1271,CTBB,34
1272,CTEK,26
1273,CTHR,26
1274,CTIB,26
1275,CTIC,1
1276,CTK,26
1277,CTL,28
1278,CTLT,7
1279,CTR,18
1280,CTRA,28
1281,CTRM,25
1282,CTRN,28
1283,CTSH,35
1284,CTSO,8
1285,CTT,37
1286,CTV,34
1287,CTVA,20
1288,CTXR,1
1289,CTXS,7
1290,CTZ,34
1291,CUB,32
1292,CUBA,16
1293,CUBE,17
1294,CUBI,15
1295,CUE,1
1296,CUK,32
1297,CULP,27
1298,CURE,35
1299,CUTR,7
1300,CUZ,17
1301,CVBF,15
1302,CVCO,37
1303,CVE,13
1304,CVEO,13
1305,CVGW,28
1306,CVLT,7
1307,CVLY,27
1308,CVM,1
1309,CVNA,7
1310,CVTI,28
1311,CVX,13
1312,CVY,2
1313,CW,32
1314,CWB,24
1315,CWBC,26
1316,CWBR,1
1317,CWCO,37
1318,CWEN,35
1319,CWH,28
1320,CWI,30
1321,CWK,37
1322,CWS,35
1323,CWST,37
1324,CWT,11
1325,CX,16
1326,CXDC,1
1327,CXH,9
1328,CXO,13
1329,CXP,17
1330,CXSE,14
1331,CXW,17
1332,CYAN,26
1333,CYB,1
1334,CYBE,7
1335,CYCC,1
1336,CYCCP,33
1337,CYCN,25
1338,CYD,28
1339,CYH,28
1340,CYRN,26
1341,CYTK,8
1342,CZA,2
1343,CZNC,27
1344,CZZ,31
1345,D,12
1346,DAC,1
1347,DAKT,28
1348,DAL,32
1349,DALI,24
1350,DALT,35
1351,DAN,32
1352,DAO,23
1353,DARE,1
1354,DAUD,36
1355,DAVA,1
1356,DAX,30
1357,DB,32
1358,DBA,1
1359,DBC,4
1360,DBE,4
1361,DBEH,23
1362,DBEU,30
1363,DBEZ,30
1364,DBGR,30
1365,DBJP,22
1366,DBLV,22
1367,DBMF,20
1368,DBO,4
1369,DBP,21
1370,DBS,21
1371,DBV,16
1372,DCHF,19
1373,DCI,32
1374,DCO,28
1375,DCOMP,23
1376,DCP,18
1377,DCTH,26
1378,DCUE,20
1379,DD,32
1380,DDF,3
1381,DDG,36
1382,DDIV,35
1383,DDM,22
1384,DDOG,20
1385,DDS,28
1386,DDT,34
1387,DDWM,30
1388,DE,32
1389,DEA,17
1390,DECK,28
1391,DEED,33
1392,DEEF,30
1393,DEEP,33
1394,DEF,35
1395,DEI,17
1396,DELL,7
1397,DEM,14
1398,DENN,37
1399,DEO,35
1400,DES,2
1401,DEUR,26
1402,DEUS,2
1403,DEW,22
1404,DEX,22
1405,DFE,30
1406,DFEB,23
1407,DFFN,26
1408,DFIN,28
1409,DFJ,22
1410,DFND,35
1411,DFNL,2
1412,DFNS,33
1413,DFP,3
1414,DFPH,33
1415,DFS,15
1416,DFVL,33
1417,DFVS,19
1418,DGAZ,26
1419,DGICA,27
1420,DGICB,33
1421,DGII,32
1422,DGL,21
1423,DGLY,26
1424,DGP,21
1425,DGRE,14
1426,DGRO,2
1427,DGRS,2
1428,DGRW,24
1429,DGS,14
1430,DGT,22
1431,DGX,35
1432,DGZ,26
1433,DHC,3
1434,DHCNI,20
1435,DHI,37
1436,DHR,35
1437,DHT,1
1438,DIAL,29
1439,DIAX,22
1440,DIG,13
1441,DIM,30
1442,DIN,28
1443,DINT,14
1444,DIS,35
1445,DISCA,28
1446,DISCB,33
1447,DISCK,28
1448,DISH,28
1449,DIT,19
1450,DIV,37
1451,DIVB,22
1452,DIVO,22
1453,DIVY,1
1454,DJCO,27
1455,DJP,4
1456,DJPY,19
1457,DJUN,33
1458,DK,13
1459,DKL,18
1460,DKNG,23
1461,DKS,28
